[0930/204125.804:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yc/r/A5FylcBZggy.js?_nc_x=Ij3Wp8lg5Kz (123)
[0930/204127.311:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/204127.320:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/204127.325:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/204131.286:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/204131.296:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/204131.313:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/204156.324:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yc/r/A5FylcBZggy.js?_nc_x=Ij3Wp8lg5Kz (123)
[0930/204939.107:INFO:CONSOLE(341)] "Failed to parse video contentType: video/mp4; codecs=avc1.42000a", source: https://static.whatsapp.net/rsrc.php/v3iHCc4/y3/l/rt/FrMSRzo7U14.js?_nc_x=Ij3Wp8lg5Kz (341)
[0930/204939.107:INFO:CONSOLE(341)] "Failed to parse video contentType: video/mp4; codecs=hev1.1.6.L93.B0", source: https://static.whatsapp.net/rsrc.php/v3iHCc4/y3/l/rt/FrMSRzo7U14.js?_nc_x=Ij3Wp8lg5Kz (341)
[0930/204943.577:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yc/r/A5FylcBZggy.js?_nc_x=Ij3Wp8lg5Kz (123)
[0930/211055.783:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211055.788:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211055.803:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211056.340:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yc/r/A5FylcBZggy.js?_nc_x=Ij3Wp8lg5Kz (123)
[0930/211101.150:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211101.164:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211101.169:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211952.535:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211952.548:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/211952.571:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212000.489:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212000.535:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212000.536:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212204.957:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212204.992:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212204.993:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212215.927:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212215.927:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212215.928:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212217.407:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
[0930/212217.419:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/ByF5Vq3TgbF.js?_nc_x=Ij3Wp8lg5Kz (343)
